Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,October 31 – November 27,Monthly,2.4,0.8 - 3.9,880,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,September 26 – October 30,Monthly,3.4,2.2 - 4.5,2055,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,3.7,1.7 - 5.6,1067,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 29 – September 25,Monthly,3.8,2.6 - 5.5,1616,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 1 – August 28,Monthly,5.4,3.9 - 7.5,1544,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,June 27 – July 31,Monthly,5.7,3.5 - 9.2,724,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,May 30 – June 26,Monthly,6.8,4.5 - 10.1,849,0
Jurisdictional Estimates,Mississippi,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,April 22 – May 29,Monthly,8.5,5.9 - 12.1,720,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,November 28 – December 31,Monthly,14.1,9.1 - 19.0,603,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,September 26 – October 30,Monthly,14.4,11.1 - 17.6,1263,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,October 31 – November 27,Monthly,14.8,8.6 - 20.9,375,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 29 – September 25,Monthly,17.9,14.5 - 21.7,1188,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 1 – August 28,Monthly,19.7,15.4 - 24.8,827,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,May 30 – June 26,Monthly,21.7,17.6 - 26.5,837,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,June 27 – July 31,Monthly,23.8,19.5 - 28.7,1055,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,April 22 – May 29,Monthly,24.4,20.2 - 29.1,958,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 30 – February 26,Monthly,5.4,2.6 - 8.2,553,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 2 – January 29,Monthly,7.7,5.1 - 10.3,596,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,March 27 – April 30 ,Monthly,7.7,4.8 - 10.5,738,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,February 27 – March 26 ,Monthly,8.1,4.8 - 11.4,667,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,February 27 – March 26 ,Monthly,1.5,0.3 - 2.6,667,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,March 27 – April 30 ,Monthly,1.6,0.4 - 2.8,738,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 29 – September 25,Monthly,10.5,7.9 - 13.8,1188,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 1 – August 28,Monthly,12.5,9.1 - 16.9,827,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,June 27 – July 31,Monthly,12.6,9.4 - 16.7,1055,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,April 22 – May 29,Monthly,15.6,12.3 - 19.7,958,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,May 30 – June 26,Monthly,17.6,13.6 - 22.3,837,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 2 – January 29,Monthly,3.8,1.3 - 6.3,596,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 30 – February 26,Monthly,4,1.2 - 6.9,553,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,October 31 – November 27,Monthly,6.2,1.9 - 10.6,375,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,November 28 – December 31,Monthly,7.4,3.6 - 11.2,603,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,September 26 – October 30,Monthly,7.6,5.1 - 10.1,1263,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),April 22 – May 29,Monthly,54.6,49.8 - 59.3,958,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),May 30 – June 26,Monthly,58.4,53.3 - 63.4,837,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),June 27 – July 31,Monthly,60.4,55.4 - 65.1,1055,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 1 – August 28,Monthly,64.3,58.9 - 69.4,827,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 29 – September 25,Monthly,69.5,65.2 - 73.5,1188,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),September 26 – October 30,Monthly,74.5,70.6 - 78.4,1263,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),November 28 – December 31,Monthly,77.8,72.0 - 83.6,603,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),October 31 – November 27,Monthly,77.8,70.6 - 84.9,375,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 2 – January 29,Monthly,88.2,84.7 - 91.7,596,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 30 – February 26,Monthly,89.9,85.9 - 93.9,553,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),February 27 – March 26 ,Monthly,90,86.5 - 93.5,667,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),March 27 – April 30 ,Monthly,90.4,87.3 - 93.5,738,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,0.3,0.0 - 0.7,596,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,March 27 – April 30 ,Monthly,0.3,0.0 - 0.8,738,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,February 27 – March 26 ,Monthly,0.4,0.0 - 0.8,667,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 30 – February 26,Monthly,0.7,0.0 - 1.7,553,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,November 28 – December 31,Monthly,0.7,0.0 - 2.2,603,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,October 31 – November 27,Monthly,1.2,0.0 - 3.0,375,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 29 – September 25,Monthly,2.2,1.1 - 4.2,1188,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,May 30 – June 26,Monthly,2.3,1.2 - 4.5,837,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,June 27 – July 31,Monthly,3.2,1.7 - 5.9,1055,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,September 26 – October 30,Monthly,3.5,1.8 - 5.3,1263,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 1 – August 28,Monthly,3.5,1.9 - 6.6,827,0
Jurisdictional Estimates,North Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,April 22 – May 29,Monthly,5.4,3.5 - 8.3,958,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 2 – January 29,Monthly,15.1,12.9 - 17.2,2350,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,February 27 – March 26 ,Monthly,15.6,13.3 - 18.0,1822,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,March 27 – April 30 ,Monthly,16.9,14.4 - 19.3,1723,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 30 – February 26,Monthly,18.1,14.7 - 21.5,1184,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 1 – August 28,Monthly,18.1,14.5 - 22.4,821,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,September 26 – October 30,Monthly,18.6,15.9 - 21.3,1682,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,November 28 – December 31,Monthly,18.9,16.4 - 21.4,2076,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,October 31 – November 27,Monthly,20.5,16.8 - 24.1,990,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 29 – September 25,Monthly,20.9,18.1 - 24.1,1568,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,May 30 – June 26,Monthly,21.7,18.3 - 25.6,1095,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,April 22 – May 29,Monthly,22,18.3 - 26.2,1009,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,June 27 – July 31,Monthly,25.5,22.3 - 28.9,1524,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,September 26 – October 30,Monthly,10.4,8.2 - 12.6,1682,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,June 27 – July 31,Monthly,13.5,11.1 - 16.4,1524,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 1 – August 28,Monthly,14.2,10.8 - 18.5,821,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,May 30 – June 26,Monthly,19.1,15.7 - 23.1,1095,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,April 22 – May 29,Monthly,21.5,17.7 - 25.8,1009,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 30 – February 26,Monthly,3.3,1.7 - 5.0,1184,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,March 27 – April 30 ,Monthly,4.4,3.0 - 5.8,1723,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,February 27 – March 26 ,Monthly,5.7,4.0 - 7.4,1822,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,October 31 – November 27,Monthly,6.3,3.9 - 8.7,990,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 2 – January 29,Monthly,7.2,5.6 - 8.9,2350,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,November 28 – December 31,Monthly,8,6.2 - 9.9,2076,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 29 – September 25,Monthly,9.8,7.8 - 12.3,1568,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),April 22 – May 29,Monthly,50.4,46.0 - 54.7,1009,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),May 30 – June 26,Monthly,54.1,50.0 - 58.3,1095,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),June 27 – July 31,Monthly,55.9,52.4 - 59.3,1524,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 1 – August 28,Monthly,60.8,55.9 - 65.4,821,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 29 – September 25,Monthly,65.6,62.2 - 68.9,1568,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),September 26 – October 30,Monthly,68.4,65.2 - 71.5,1682,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),November 28 – December 31,Monthly,70.7,67.8 - 73.5,2076,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),October 31 – November 27,Monthly,70.8,66.8 - 74.9,990,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 2 – January 29,Monthly,76.2,73.7 - 78.7,2350,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 30 – February 26,Monthly,77.3,73.7 - 81.0,1184,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),February 27 – March 26 ,Monthly,77.6,74.9 - 80.4,1822,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),March 27 – April 30 ,Monthly,78,75.3 - 80.7,1723,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,March 27 – April 30 ,Monthly,0.8,0.1 - 1.4,1723,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,February 27 – March 26 ,Monthly,1.1,0.3 - 1.8,1822,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 30 – February 26,Monthly,1.2,0.2 - 2.3,1184,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,1.5,0.7 - 2.2,2350,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,November 28 – December 31,Monthly,2.4,1.4 - 3.4,2076,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,October 31 – November 27,Monthly,2.4,1.0 - 3.8,990,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,September 26 – October 30,Monthly,2.7,1.4 - 3.9,1682,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 29 – September 25,Monthly,3.6,2.5 - 5.3,1568,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,May 30 – June 26,Monthly,5,3.2 - 7.7,1095,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,June 27 – July 31,Monthly,5.1,3.6 - 7.2,1524,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,April 22 – May 29,Monthly,6.1,4.2 - 8.7,1009,0
Jurisdictional Estimates,South Carolina,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,August 1 – August 28,Monthly,6.9,4.7 - 10.0,821,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 2 – January 29,Monthly,17.9,12.8 - 23.0,570,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 29 – September 25,Monthly,19,14.7 - 24.2,701,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,January 30 – February 26,Monthly,20.1,16.9 - 23.4,1181,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,February 27 – March 26 ,Monthly,20.3,17.1 - 23.6,1049,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,September 26 – October 30,Monthly,20.5,15.6 - 25.5,649,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,October 31 – November 27,Monthly,20.7,12.7 - 28.7,314,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,March 27 – April 30 ,Monthly,21.1,18.3 - 23.8,1504,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,August 1 – August 28,Monthly,21.5,17.5 - 26.2,807,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,November 28 – December 31,Monthly,22.9,17.8 - 27.9,714,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,April 22 – May 29,Monthly,26.5,22.6 - 30.8,936,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,May 30 – June 26,Monthly,26.6,22.6 - 31.1,828,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,June 27 – July 31,Monthly,27.2,22.5 - 32.4,768,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,September 26 – October 30,Monthly,12.2,7.9 - 16.6,649,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 1 – August 28,Monthly,14.8,11.3 - 19.1,807,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,August 29 – September 25,Monthly,15.5,11.5 - 20.6,701,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,June 27 – July 31,Monthly,16.3,12.6 - 21.0,768,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,May 30 – June 26,Monthly,16.6,13.1 - 20.8,828,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,April 22 – May 29,Monthly,17,13.8 - 20.8,936,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,March 27 – April 30 ,Monthly,4.6,3.1 - 6.0,1504,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,February 27 – March 26 ,Monthly,5.5,3.5 - 7.4,1049,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 30 – February 26,Monthly,6.3,4.3 - 8.4,1181,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,November 28 – December 31,Monthly,7.6,4.6 - 10.5,714,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,October 31 – November 27,Monthly,9.3,4.3 - 14.3,314,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Probably Will Get Vaccinated or Are Unsure,January 2 – January 29,Monthly,9.9,6.2 - 13.6,570,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),April 22 – May 29,Monthly,48.5,44.3 - 52.8,936,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),May 30 – June 26,Monthly,51.6,47.1 - 56.1,828,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),June 27 – July 31,Monthly,53.4,48.3 - 58.5,768,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 1 – August 28,Monthly,58.3,53.3 - 63.2,807,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),August 29 – September 25,Monthly,63.1,57.4 - 68.6,701,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),September 26 – October 30,Monthly,65.4,59.6 - 71.1,649,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),November 28 – December 31,Monthly,67.1,61.6 - 72.5,714,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),October 31 – November 27,Monthly,68.4,59.9 - 76.8,314,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 2 – January 29,Monthly,70.9,65.1 - 76.7,570,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),January 30 – February 26,Monthly,72.4,68.8 - 75.9,1181,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),February 27 – March 26 ,Monthly,72.5,69.0 - 76.1,1049,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Vaccinated (≥1 dose),March 27 – April 30 ,Monthly,73,70.0 - 76.0,1504,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 30 – February 26,Monthly,1.2,0.4 - 2.0,1181,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,January 2 – January 29,Monthly,1.3,0.0 - 2.7,570,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,March 27 – April 30 ,Monthly,1.4,0.5 - 2.3,1504,0
Jurisdictional Estimates,Tennessee,All Adults 18+,Overall,Vaccination and intent 4 level grouping,Definitely Will Get Vaccinated,February 27 – March 26 ,Monthly,1.6,0.5 - 2.8,1049,0
